,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
111,qabaqcol,75,AZ,1579716807,74,41.72,46.26,35.6,6.93
112,laguna,90,US,1579716739,93,38.42,-121.42,55.99,3.74
113,kolaras,21,IN,1579716807,54,25.23,77.6,55.26,7.36
114,yining,100,CN,1579716807,97,29.04,114.56,45.68,2.35
115,lorengau,39,PG,1579716807,76,-2.02,147.27,83.05,13.15
116,lompoc,90,US,1579716807,93,34.64,-120.46,61.0,4.7
117,srednekolymsk,63,RU,1579716808,98,67.45,153.68,-32.58,7.7
118,atuona,33,PF,1579716808,75,-9.8,-139.03,80.82,13.38
119,burnie,100,AU,1579716808,98,-41.07,145.92,55.0,5.01
120,arraial do cabo,40,BR,1579716808,54,-22.84,-46.65,80.6,6.93
121,erenhot,0,CN,1579716808,81,43.65,111.98,11.77,6.58
122,thyboron,85,DK,1579716808,73,56.7,8.21,39.0,15.32
123,grand river south east,90,US,1579716792,100,38.88,-109.5,35.01,2.82
124,isangel,67,VU,1579716808,83,-19.55,169.27,76.24,15.21
125,xining,100,CN,1579716808,70,36.62,101.77,14.81,0.29
126,padang,78,ID,1579716808,94,-0.95,100.35,68.22,4.68
127,mayenne,0,FR,1579716808,74,48.33,-0.67,37.4,10.29
128,hasaki,75,JP,1579716809,69,35.73,140.83,37.4,5.82
129,egvekinot,85,RU,1579716809,97,66.32,-179.17,-21.53,3.38
130,gopalganj,0,IN,1579716809,64,26.47,84.43,55.94,7.56
131,provideniya,0,RU,1579716809,88,64.38,-173.3,-12.89,2.51
132,tuktoyaktuk,90,CA,1579716741,75,69.45,-133.04,-14.8,9.17
133,harlingen,75,US,1579716752,73,26.19,-97.7,75.0,16.11
134,barrow,1,US,1579716830,83,71.29,-156.79,-7.6,6.93
135,naze,20,JP,1579716592,82,28.37,129.48,68.0,10.29
136,khatanga,49,RU,1579716830,86,71.97,102.5,-35.25,6.46
137,hornepayne,100,CA,1579716830,87,49.21,-84.77,28.53,15.46
138,mount gambier,91,GB,1579716745,93,53.66,-1.85,48.2,6.93
139,yellowknife,75,CA,1579716724,83,62.46,-114.35,-4.0,16.11
140,dikson,100,RU,1579716831,90,73.51,80.55,-14.22,15.57
141,erdenet,0,MN,1579716831,73,49.03,104.08,-5.24,2.44
142,pisco,90,PE,1579716831,30,-13.7,-76.22,73.99,6.93
143,flin flon,0,FR,1579716831,92,48.5,6.66,30.2,2.24
144,acari,95,PE,1579716831,70,-15.43,-74.62,74.26,11.23
145,nikolskoye,75,RU,1579716831,54,59.7,30.79,30.2,22.37
146,oranjemund,0,NA,1579716831,76,-28.55,16.43,68.32,8.37
147,ulladulla,62,AU,1579716832,88,-35.35,150.47,66.0,12.1
148,goundam,76,ML,1579716832,15,16.41,-3.67,84.6,6.26
149,khandyga,39,RU,1579716832,98,62.67,135.6,-31.22,2.35
150,ostrovnoy,100,RU,1579716832,92,68.05,39.51,22.95,29.64
151,sao joao da barra,65,IN,1579716853,41,20.51,76.21,75.06,1.97
152,coquimbo,75,CL,1579716853,68,-29.95,-71.34,69.8,11.41
153,blagoyevo,100,RU,1579716853,88,63.37,47.92,20.1,12.44
154,virginia beach,20,US,1579716759,41,37.55,-77.45,41.0,8.05
155,novomikhaylovskiy,99,RU,1579716853,86,44.26,38.86,39.87,22.41
156,longyearbyen,0,SJ,1579716853,76,78.22,15.64,-4.0,8.05
157,totolapa,40,MX,1579716875,78,18.52,-96.18,73.99,10.29
158,sioux lookout,90,US,1579716875,100,42.73,-96.23,35.01,16.11
159,carnarvon,0,AU,1579716875,73,-24.87,113.63,73.4,21.92
160,champerico,20,GT,1579716875,52,14.3,-91.92,87.8,4.7
161,bambous virieux,75,MU,1579716875,94,-20.26,57.41,79.0,8.05
162,ponta do sol,75,PT,1579716875,63,38.73,-28.27,60.8,16.11
163,sabla,74,NG,1579716875,11,12.75,4.71,82.83,10.38
164,minab,75,IR,1579716699,72,27.15,57.08,64.4,6.93
165,blovice,90,CZ,1579716875,80,49.58,13.54,36.0,6.93
166,san policarpo,67,ML,1579716875,15,13.3,-4.9,91.0,7.2
167,etchoropo,100,MX,1579716875,76,26.77,-109.67,70.0,5.01
168,bandarbeyla,90,SO,1579716876,82,9.49,50.81,77.67,20.56
169,trairi,99,BR,1579716876,56,-3.28,-39.27,88.02,8.93
170,poum,17,NC,1579716897,74,-20.23,164.02,78.44,9.8
171,hay river,75,GB,1579716897,100,52.07,-3.13,48.0,2.98
172,airai,56,TL,1579716897,85,-8.93,125.41,67.12,4.45
173,fairbanks,75,US,1579716897,76,64.84,-147.72,-5.8,0.76
174,sobolevo,31,RU,1579716897,78,54.43,31.9,29.86,14.88
175,victoria,40,HK,1579716629,78,22.29,114.16,72.0,5.82
176,bayir,0,TR,1579716830,48,37.27,28.22,44.6,6.93
177,dakar,100,SN,1579716652,30,14.69,-17.44,84.2,4.7
178,lata,40,PT,1579716898,81,40.16,-8.33,55.99,4.7
179,ilulissat,90,GL,1579716898,72,69.22,-51.1,17.6,12.75
180,grindavik,75,IS,1579716898,90,63.84,-22.43,35.6,31.09
181,socorro,20,US,1579716628,58,31.65,-106.3,55.0,19.46
182,fort smith,93,NL,1579716898,100,52.65,6.39,44.01,2.24
183,cap malheureux,75,FR,1579716898,86,49.27,-1.21,42.01,9.17
184,souillac,75,MU,1579716898,94,-20.52,57.52,79.0,8.05
185,bathsheba,75,BB,1579716898,88,13.22,-59.52,75.2,13.87
186,ambilobe,99,MG,1579716898,90,-13.2,49.05,78.62,9.78
187,bilsanda,0,IN,1579716898,70,28.25,79.95,52.92,8.23
188,linguere,99,SN,1579716899,8,15.4,-15.12,93.29,6.69
189,mzimba,100,MW,1579716899,88,-11.9,33.6,64.99,1.83
190,santa isabel do rio negro,12,PH,1579716899,87,17.49,120.43,65.75,4.56
191,zhuhai,40,CN,1579716776,94,22.28,113.57,72.0,2.24
192,destin,20,US,1579716920,24,30.39,-86.5,50.0,4.7
193,arica,75,CL,1579716746,47,-18.48,-70.3,80.6,6.93
194,thinadhoo,0,MV,1579716920,79,0.53,72.93,84.25,20.4
195,norman wells,90,US,1579716779,100,35.22,-97.44,39.99,20.8
196,waipawa,67,NZ,1579716921,82,-41.41,175.52,64.4,25.28
197,suruc,0,TR,1579716921,59,36.98,38.42,35.6,9.17
198,hami,51,CN,1579716921,81,42.8,93.45,8.06,3.11
199,kapaa,1,US,1579716652,100,22.08,-159.32,64.0,5.82
200,severnoye,100,RU,1579716921,92,56.35,78.36,15.1,11.16
201,vestmanna,100,FO,1579716921,100,62.16,-7.17,44.6,13.87
202,berezovyy,3,RU,1579716921,86,51.67,135.7,-8.1,4.72
203,mys shmidta,100,RU,1579716921,89,62.06,48.62,22.37,9.28
204,kampot,20,KH,1579716921,83,10.62,104.18,78.8,3.36
205,balkhash,100,KZ,1579716921,96,46.84,74.98,18.12,7.4
206,katsuura,75,JP,1579716922,65,35.13,140.3,46.4,4.7
207,rundu,98,NA,1579716922,9,-17.93,19.77,82.4,5.82
208,taltal,69,CL,1579716922,66,-25.4,-70.48,69.22,8.25
209,castro,100,BR,1579716922,97,-24.79,-50.01,59.77,7.09
210,talara,40,PE,1579716922,100,-4.58,-81.27,62.6,6.93
211,reporoa,53,NZ,1579716922,99,-38.43,176.35,60.01,1.92
212,dwarka,28,IN,1579716923,54,22.24,68.97,72.82,19.28
213,rudnogorsk,13,RU,1579716923,96,57.26,103.75,-23.78,4.03
214,port elizabeth,84,CD,1579716923,75,-7.03,29.76,76.51,0.74
215,bhatkal,9,IN,1579716923,60,13.97,74.57,79.52,5.06
216,tuatapere,54,NZ,1579716745,87,-46.13,167.68,57.99,11.99
217,brae,75,GB,1579716923,100,60.4,-1.35,48.2,18.34
218,marawi,39,PH,1579716923,91,8.0,124.29,75.99,1.99
219,san cristobal,67,ML,1579716875,15,13.3,-4.9,91.0,7.2
220,ankazobe,75,MG,1579716923,100,-18.32,47.12,64.4,5.82
221,gigmoto,4,PH,1579716923,74,13.78,124.39,78.67,19.26
222,asyut,0,EG,1579716924,47,27.18,31.18,57.2,10.29
223,saldanha,50,ZA,1579716924,60,-33.01,17.94,71.6,8.05
224,hervey bay,90,US,1579716924,99,33.5,-93.78,34.0,6.93
225,svetlogorsk,83,BY,1579716924,71,52.63,29.73,33.22,15.84
226,honiara,20,SB,1579716924,94,-9.43,159.95,75.2,2.24
227,soanierana ivongo,75,MG,1579716924,100,-18.94,47.52,64.4,5.82
228,praia da vitoria,100,CV,1579716924,47,14.92,-23.51,77.0,13.87
229,shatki,51,RU,1579716924,95,55.19,44.12,24.6,7.2
230,sao jose da coroa grande,65,IN,1579716924,41,20.51,76.21,75.06,1.97
231,dandong,9,CN,1579716924,90,40.13,124.39,28.36,1.74
232,nuuk,75,GL,1579716914,72,64.18,-51.72,15.8,12.75
233,hambantota,98,LK,1579716925,80,6.12,81.12,80.67,21.54
234,hobyo,16,SO,1579716925,74,5.35,48.53,78.73,19.3
235,cuiluan,100,CN,1579716925,78,47.72,128.65,-3.1,2.82
236,vao,0,NC,1579716925,80,-22.67,167.48,75.81,16.78
237,chamba,0,IN,1579716925,54,32.57,76.13,39.85,8.79
238,bani walid,40,DO,1579716925,66,18.28,-70.33,86.0,13.87
239,ermelo,55,ZA,1579716926,82,-26.53,29.98,62.1,7.4
240,altamira,75,BR,1579716758,83,-3.2,-52.21,82.4,3.36
241,tarut,91,SA,1579716926,72,26.57,50.04,68.0,9.17
242,urumqi,100,CN,1579716926,84,43.8,87.6,8.6,2.24
243,mareeba,40,AU,1579716926,94,-17.0,145.43,79.0,3.36
244,topeka,90,US,1579716846,90,39.05,-95.68,35.6,13.87
245,hof,90,DE,1579716926,100,50.32,11.92,35.01,5.82
246,tingo maria,40,EC,1579716926,46,-0.9,-79.05,73.4,5.82
247,half moon bay,75,LR,1579716926,83,6.38,-10.7,77.0,5.82
248,quisqueya,40,DO,1579716927,74,18.56,-69.41,86.0,9.17
249,zhigansk,98,RU,1579716740,97,66.77,123.37,-22.47,5.06
250,geraldton,90,AU,1579716927,72,-28.77,114.6,66.2,17.22
251,leona vicario,100,SN,1579716927,22,16.02,-16.5,87.8,4.7
252,chokurdakh,98,RU,1579716927,99,70.63,147.92,-32.67,8.32
253,hai phong,36,LA,1579716927,51,18.17,103.06,74.97,2.77
254,novo aripuana,75,CU,1579716927,59,22.78,-82.23,62.01,19.46
255,codrington,100,AU,1579716927,87,-38.27,141.97,56.26,26.15
256,ribeira grande,20,ES,1579716927,81,42.75,-8.44,57.99,6.93
257,richards bay,1,US,1579716927,92,46.84,-95.91,27.0,5.82
258,labuhan,22,ID,1579716928,86,-6.88,112.21,76.69,2.77
259,bonavista,17,CA,1579716928,77,48.65,-53.11,19.99,8.99
260,palmer,1,US,1579716928,54,42.16,-72.33,36.0,4.7
261,corinto,0,GR,1579716928,56,37.94,22.96,52.0,4.74
262,bilibino,100,RU,1579716928,100,68.05,166.44,-38.52,0.25
263,port macquarie,84,CD,1579716802,75,-7.03,29.76,76.51,0.74
264,tiksi,100,RU,1579716928,85,71.69,128.87,-26.16,5.79
265,hilo,75,US,1579716744,64,19.73,-155.09,69.01,6.93
266,copiapo,20,CL,1579716638,47,-27.37,-70.33,77.0,12.75
267,bestobe,80,KZ,1579716928,84,52.5,73.1,19.15,22.95
268,chitungwiza,100,ZW,1579716929,56,-18.01,31.08,69.8,6.93
269,plouzane,37,FR,1579716929,86,48.38,-4.62,44.01,16.11
270,sayyan,4,YE,1579716929,78,15.17,44.32,54.99,3.13
271,mangaratiba,40,BR,1579716929,58,-22.96,-44.04,87.8,18.34
272,genhe,100,CN,1579716929,98,50.78,121.52,-9.6,3.47
273,skogn,75,NO,1579716929,69,63.7,11.2,37.4,23.04
274,murchison,6,NZ,1579716929,86,-41.8,172.33,48.9,2.26
275,northam,90,GB,1579716929,93,51.03,-4.22,46.99,6.93
276,sao miguel do araguaia,65,IN,1579716924,41,20.51,76.21,75.06,1.97
277,kutum,0,SD,1579716930,20,14.2,24.67,55.53,11.39
278,san patricio,67,ML,1579716875,15,13.3,-4.9,91.0,7.2
279,riyadh,20,SA,1579716892,34,24.69,46.72,60.8,16.11
280,mar del plata,75,ES,1579716930,93,43.4,-4.01,51.01,10.58
281,port hardy,84,CD,1579716802,75,-7.03,29.76,76.51,0.74
282,faya,40,SA,1579716930,81,18.39,42.45,55.4,9.17
283,sibi,0,PK,1579716930,57,29.54,67.88,58.46,1.41
284,satun,75,TH,1579716930,94,6.83,100.0,82.4,2.24
285,tacoronte,40,ES,1579716931,71,28.48,-16.41,66.0,6.93
286,emba,100,KZ,1579716931,96,48.83,58.14,30.29,22.03
287,bela vista do paraiso,0,IN,1579716931,61,25.93,81.98,53.46,6.49
288,upernavik,100,GL,1579716931,94,72.79,-56.15,0.57,7.96
289,mangrol,43,IN,1579716931,49,21.12,70.12,72.14,15.21
290,riviere-au-renard,5,CA,1579716931,61,49.0,-64.4,15.8,5.82
291,dubreka,77,GN,1579716931,58,9.79,-13.52,86.0,11.41
292,bichura,78,RU,1579716931,80,50.59,107.6,-7.2,2.19
293,puro,31,PH,1579716931,78,12.48,123.38,75.29,11.39
294,sechura,1,PE,1579716931,88,-5.56,-80.82,70.36,10.22
295,aklavik,75,CA,1579716931,66,68.22,-135.01,-22.0,2.91
296,gat,40,IL,1579716931,93,31.61,34.76,50.0,5.82
297,lahij,89,YE,1579716932,73,13.17,44.58,71.73,9.06
298,haines junction,90,US,1579716932,92,59.23,-135.44,28.4,3.36
299,bairiki,75,KI,1579716932,83,1.33,172.98,80.6,4.7
300,mount isa,91,GB,1579716932,93,53.66,-1.85,48.2,6.93
301,gawler,75,AU,1579716932,77,-34.6,138.73,63.0,11.41
302,fort saint john,93,NL,1579716898,100,52.65,6.39,44.01,2.24
303,huangpu,88,CN,1579716932,92,25.44,113.17,55.06,3.8
304,kargasok,92,RU,1579716932,94,59.06,80.86,4.03,10.67
305,kaeo,3,NZ,1579716932,100,-35.1,173.78,59.0,4.52
306,tromso,90,NO,1579716933,92,69.65,18.96,30.2,2.24
307,nikki,58,BJ,1579716933,11,9.94,3.21,85.89,6.04
308,gao,99,ML,1579716933,13,16.64,1.64,82.83,8.32
309,ambulu,35,ID,1579716933,78,-8.35,113.61,81.93,5.44
310,polson,90,US,1579716933,69,47.69,-114.16,39.0,9.17
311,pombas,20,CV,1579716933,57,17.15,-25.02,77.0,14.99
312,sabinas,100,MX,1579716933,65,27.85,-101.12,58.93,6.49
313,lagoa,100,PT,1579716742,70,39.05,-27.98,57.69,16.2
314,novyy urgal,75,RU,1579716933,75,45.01,38.98,46.99,24.61
315,kalmar,0,SE,1579716933,59,56.66,16.36,39.0,6.93
316,kozhva,100,RU,1579716934,95,65.11,57.05,20.19,6.29
317,cabo san lucas,75,BR,1579716934,74,-8.28,-35.03,84.2,10.29
318,gimli,46,CA,1579716934,95,50.63,-96.99,25.0,3.0
319,taquara,75,BR,1579716934,54,-29.65,-50.78,84.99,16.11
320,taoudenni,82,ML,1579716934,18,22.68,-3.98,72.0,5.26
321,ballina,40,AU,1579716955,88,-28.87,153.57,78.8,11.41
322,aykhal,1,RU,1579716955,58,66.0,111.5,-36.4,2.24
323,sept-iles,90,CA,1579716955,78,50.2,-66.38,17.6,9.17
324,phan thiet,53,TH,1579716955,88,19.55,99.74,62.6,2.24
325,kangaatsiaq,100,GL,1579716955,87,68.31,-53.46,9.45,11.01
326,ust-kulom,100,RU,1579716956,94,61.69,53.69,15.17,5.93
327,jutai,22,BR,1579716956,40,-5.18,-68.9,96.67,3.27
328,koindu,96,GN,1579716956,45,8.44,-10.33,89.31,2.15
329,kamenka,100,RU,1579716956,95,51.32,42.77,34.0,1.99
330,necochea,53,AR,1579716944,86,-38.55,-58.74,82.99,4.0
331,arlit,21,NE,1579716956,11,18.74,7.39,77.16,6.38
332,kuryk,100,KZ,1579716956,73,43.2,51.65,44.8,9.35
333,moranbah,83,AU,1579716956,73,-22.0,148.05,78.67,8.5
334,kharopon,31,GR,1579716956,49,41.27,23.38,39.99,2.1
335,mount pleasant,91,GB,1579716957,93,53.66,-1.85,48.2,6.93
336,topchikha,75,RU,1579716957,85,52.82,83.12,19.4,8.95
337,canoa,40,DO,1579716957,62,18.36,-71.16,84.2,13.87
338,swan hill,0,PH,1579716957,91,18.22,121.38,62.51,2.77
339,caravelas,100,BR,1579716957,80,-17.71,-39.25,79.48,23.49
340,inongo,99,CD,1579716957,50,-1.95,18.27,82.85,2.48
341,conde,75,BR,1579716957,70,-7.26,-34.91,84.2,12.75
342,martapura,75,ID,1579716957,88,-3.42,114.85,80.6,1.12
343,torbay,75,CA,1579716722,72,47.67,-52.73,21.0,5.82
344,mikkeli,75,FI,1579716957,79,61.67,27.25,28.4,6.93
345,baykit,100,RU,1579716958,97,61.67,96.37,-16.2,3.13
346,kirakira,85,SB,1579716958,86,-10.45,161.92,77.09,5.53
347,tual,89,ID,1579716958,79,-5.67,132.75,82.09,11.18
348,deputatskiy,93,RU,1579716958,92,69.3,139.9,-23.6,4.18
349,comodoro rivadavia,99,BR,1579716958,75,-13.66,-59.79,82.18,7.83
350,domoni,100,KM,1579716958,80,-12.26,44.53,82.17,22.15
351,alofi,46,NU,1579716813,100,-19.06,-169.92,66.2,2.24
352,poshekhonye,66,RU,1579716979,86,58.5,39.14,26.53,11.72
353,launceston,90,AU,1579716979,93,-41.45,147.17,55.0,12.75
354,huilong,87,CN,1579716980,97,31.81,121.66,46.99,1.99
355,port-gentil,75,GA,1579716980,89,-0.72,8.78,84.2,9.17
356,yelizovo,0,RU,1579716980,70,53.19,158.38,-5.8,8.95
357,batagay-alyta,97,RU,1579716980,98,67.8,130.41,-21.05,0.69
358,iqaluit,40,CA,1579716980,67,63.75,-68.51,-22.0,2.24
359,husavik,20,IS,1579716980,35,66.04,-17.34,41.0,49.44
360,tyazhinskiy,100,RU,1579716981,87,56.12,88.52,12.94,7.58
361,coronado,20,US,1579716981,71,32.69,-117.18,61.0,4.7
362,fenoarivo,75,MG,1579716981,100,-18.93,47.44,64.4,5.82
363,marystown,59,CA,1579716981,65,47.17,-55.15,21.43,12.77
364,mezen,95,RU,1579716981,87,65.85,44.24,22.06,14.79
365,peniche,75,PT,1579716981,93,39.36,-9.38,50.0,11.41
366,mercedes,12,AR,1579716981,55,-34.65,-59.43,89.01,1.99
367,bengkulu,100,ID,1579716982,99,-3.8,102.27,73.76,4.14
368,borzya,24,RU,1579716982,85,50.38,116.52,-4.95,13.24
369,ahome,90,MX,1579716982,72,25.92,-109.18,70.0,13.87
370,vidor,90,US,1579716982,93,30.13,-94.02,48.2,11.41
371,dunedin,28,NZ,1579716823,91,-45.87,170.5,61.0,11.23
372,rocha,12,UY,1579716982,44,-34.48,-54.33,83.84,14.76
373,crotone,29,IT,1579716982,87,39.09,17.12,44.6,3.36
374,ulaanbaatar,1,MN,1579716714,75,47.91,106.88,-14.8,2.24
375,shenjiamen,100,CN,1579716982,93,29.96,122.3,51.06,14.83
376,uyovu,98,TZ,1579716982,93,-3.28,31.53,67.33,4.38
377,kodarma,0,IN,1579716982,60,24.47,85.6,59.86,4.38
378,berlin,75,DE,1579716955,75,52.52,13.41,43.0,4.7
379,krasnogvardeyets,100,RU,1579716983,91,52.68,52.36,23.83,10.65
380,lebyazhye,100,RU,1579717004,92,55.27,66.49,21.25,20.74
381,sangar,100,RU,1579717004,83,63.92,127.47,-18.24,10.38
382,ahipara,24,NZ,1579717004,100,-35.17,173.17,55.99,6.2
383,port hedland,84,CD,1579716802,75,-7.03,29.76,76.51,0.74
384,konotop,100,UA,1579717004,95,51.24,33.2,33.64,21.09
385,idah,55,NG,1579717005,15,7.11,6.73,89.22,4.47
386,machilipatnam,23,IN,1579717005,88,16.17,81.13,75.2,3.18
